theta,price,absolute_error,elapsed_seconds
0.75,0.09505379328814391,0.003971524426003445,0.0035663999733515084
0.9,0.09758458150769775,0.0014407362064496054,0.0030756000196561217
1.0,0.09929967845705574,0.00027436074290838885,0.0037232000031508505
1.1,0.10103729249522844,0.0020119747810810884,0.003596199967432767
1.25,0.10368629357000049,0.004660975855853136,0.004577099985908717
